"App","Participant","Condition","Session","Group","TaskType","SelectionMethod","Block","SRC","Trials","A","W","ID","Ae","We","IDe(bits)","PT(ms)","ST(ms)","MT(ms)","ER(%)","TP(bps)","TRE","TAC","MDC","ODC","MV","ME","MO","file_name"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,80,3.45943161644103,795.291710387078,54.6673276771174,3.95864255426133,530.8,79.1333333333333,610.466666666667,0,6.48461704858796,0.0666666666666667,0.466666666666667,2.33333333333333,0.933333333333333,13.9328068487079,18.5565595869882,-3.36297403235515,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,20,5.93073733379767,1196.82567080134,16.8432483507676,6.17106070332375,1150.26666666667,86.4,1237.13333333333,13.3333333333333,4.98819370317704,0.2,1.26666666666667,3.06666666666667,1.46666666666667,30.2950200545338,31.9421095888694,9.64393629822531,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,40,4.39231741999023,795.386733924079,33.5987351004314,4.62486798489019,765,70.4,835.866666666667,0,5.53302119742805,0.0666666666666667,0.8,2.06666666666667,0.466666666666667,12.3521140985065,14.878427596024,-7.36139934806921,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,20,5.35755200121676,796.289410033647,10.2909052232818,6.29237639561197,943.133333333333,67,1010.6,0,6.2263768015159,0.0666666666666667,0.733333333333333,2.6,0.933333333333333,16.1808097159502,19.797530012624,-1.6032495268171,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,20,4.39231741999023,396.527362013802,16.6911851324911,4.62974670765561,772.333333333333,77.8,850.733333333333,0,5.44206571701545,0,0.2,1.8,0.6,11.6301063984056,16.009575202531,0.391834580385124,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,40,3.45943161644103,392.022005062876,26.7439479741961,3.96885979029734,576.533333333333,77.1333333333333,654.133333333333,0,6.06735597782921,0.0666666666666667,0.533333333333333,1.4,0.733333333333333,9.48746204944545,14.0512662540753,-6.43202621556807,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,80,2.58496249908006,386.875521476662,63.3159366485116,2.8298981043086,419,64.9333333333333,484.333333333333,0,5.84287289258486,0.0666666666666667,0.6,1.6,0.6,8.34635557283711,11.3053376037364,1.02771023908766,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,80,3.99999999746054,1191.83277564407,66.4399473662911,4.24324990822576,619.933333333333,72.5333333333333,693.066666666667,6.66666666666667,6.12242676254197,0,1.4,2.86666666666667,0.8,15.5449969707359,18.1053294755837,-4.24670619440549,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,40,4.95419630724163,1196.31743303259,28.7407221140479,5.41361011371711,725.2,77.4666666666667,803.266666666667,0,6.73949304554375,0.133333333333333,1.06666666666667,2.66666666666667,1.2,15.3706064593657,19.3568871936366,7.15966864902617,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,800,40,4.39231741999023,793.23255693719,35.6988846466965,4.53730187740214,731.066666666667,83.9333333333333,815.733333333333,0,5.56223669181367,0,0.6,2.06666666666667,1.13333333333333,21.647718789739,27.4114960904992,-2.49112168199183,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,1200,20,5.93073733379767,1192.17147228907,13.4916394723382,6.48161735729171,922.866666666667,82.9333333333333,1006.33333333333,0,6.44082546269464,0.0666666666666667,0.8,2.2,1.66666666666667,28.7583371743152,36.4588357561095,-2.41114886766794,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,800,80,3.45943161644103,780.2736526099,85.0119662764665,3.34743858875892,547.066666666667,74,621.533333333333,6.66666666666667,5.38577483979232,0,0.733333333333333,2.26666666666667,1.2,14.5262232151285,19.9559937635717,3.36216888933961,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
